memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:02] "POST /deck-list HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:02] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:02] "GET /static/arrow.jpg HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:04] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:04] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:06] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:06] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:09] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:09] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:11] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:11] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:13] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:13] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:16] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:16] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:18] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:18] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:20] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:20] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:23] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:23] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:25] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:25] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:26] "GET / HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:26] "GET /login HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:30] "POST /login HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:30] "GET /deck-list HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:31] "POST /deck-list HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:31] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:33] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:33] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:35] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:36] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:38] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:38] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:40] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:40] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:42] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:42] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:45] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:45] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:47] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:47] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:49] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:49] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:52] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:52] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:54] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:54] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:55] "GET / HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:55] "GET /login HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:05:59] "POST /login HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:00] "GET /deck-list HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:00] "POST /deck-list HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:00] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:02] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:02] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:05] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:05] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:07] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:07] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:09] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:09] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:12] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:12] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:14] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:14] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:16] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:16] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:19] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:19] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:21] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:21] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:23] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:23] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:24] "GET / HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:24] "GET /login HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:28] "GET /signup HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:29] "POST /signup HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:29] "GET /login HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:29] "GET / HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:29] "GET /login HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:33] "POST /login HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:33] "GET /deck-list HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:33] "POST /deck-list HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:33] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:36] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:36] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:38] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:38] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:40] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:40] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:43] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:43] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:45] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:45] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:47] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:47] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:50] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:50] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:52] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:52] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:54] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:54] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:57] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:57] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:58] "GET / HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:06:58] "GET /login HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:02] "GET /signup HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:02] "POST /signup HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:02] "GET /login HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:02] "GET / HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:02] "GET /login HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:06] "POST /login HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:06] "GET /deck-list HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:07] "POST /deck-list HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:07] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:09] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:09] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:11] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:11] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:14] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:14] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:16] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:16] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:18] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:18] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:21] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:21] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:23] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:23] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:25] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:25] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:28] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:28] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:30] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:30] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:31] "GET / HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:31] "GET /login HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:35] "POST /login HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:36] "GET /deck-list HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:36] "POST /deck-list HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:36] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:38] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:38] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:41] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:41] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:43] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:43] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:45] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:45] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:48] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:48] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:50] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:50] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:52] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:52] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:55] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:55] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:57] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:57] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:59] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:07:59] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:08:00] "GET / HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:08:00] "GET /login HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:08:04] "POST /login HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:08:05] "GET /deck-list HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:08:05] "POST /deck-list HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:08:05] "GET /card HTTP/1.1" 200 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:08:07] "POST /check_answer HTTP/1.1" 302 -
memory_shaper_1  | 172.20.0.1 - - [28/Nov/2021 19:08:07] "GET /card HTTP/1.1" 200 -
